Country,Membership,Region
Albania,Cooperating,Southern
Austria,Member,Western
Belgium,Member,Western
Bosnia and Herzegovina,Cooperating,Southern
Bulgaria,Member,Eastern
Croatia,Member,Southern
Cyprus,Member,Southern
Czechia,Member,Eastern
Denmark,Member,Northern
Estonia,Member,Northern
Finland,Member,Northern
France,Member,Western
Germany,Member,Western
Greece,Member,Southern
Hungary,Member,Eastern
Iceland,Member,Northern
Ireland,Member,Northern
Italy,Member,Southern
Kosovo,Cooperating,Southern
Latvia,Member,Northern
Liechtenstein,Member,Western
Lithuania,Member,Northern
Luxembourg,Member,Western
Malta,Member,Southern
Montenegro,Cooperating,Southern
Netherlands,Member,Western
North Macedonia,Cooperating,Southern
Norway,Member,Northern
Poland,Member,Eastern
Portugal,Member,Southern
Romania,Member,Eastern
Serbia,Cooperating,Southern
Slovakia,Member,Eastern
Slovenia,Member,Southern
Spain,Member,Southern
Sweden,Member,Northern
Switzerland,Member,Western
Türkiye,Member,Southern
United Kingdom,Former Member,Not EEA
